state_id,tape_id,family,relative_time,prefix_hash,recent_route_recovery,op7_staged_inventory,pending_assembly_quantity,sb_inventory,downstream_backlog_qty,downstream_backlog_count,oldest_backlog_age,recent_7d_demand,recent_7d_production,recent_7d_delivery,convoy_available,convoy_return_eta,time_since_departure,staging_age,op8_route_up,previous_action_dispatch,day_phase
dra2-smoke-routine-840001|state=0,dra2-smoke-routine-840001,routine,1440.0,41cc3ef181fa8ded5cca3c74183e3e0c4ff9d0112b35f88c6ed8401e3ceef7cd,False,116.0,0.0,868.0,18020.0,7.0,1103.0,15025.0,12936.0,14836.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-routine-840001|state=1,dra2-smoke-routine-840001,routine,24.0,c6061de81474e531a7a5c4d0245423e6eed26e00c768026b8e8a3d43cae51467,False,5256.0,0.0,5000.0,0.0,0.0,0.0,0.0,7692.0,0.0,1.0,0.0,48.0,80.0,1.0,0.0,0.7619047619047619
dra2-smoke-routine-840001|state=2,dra2-smoke-routine-840001,routine,1968.0,b58ac8de7fc56c108dec85658c35bbe78364cb8edef7163d2b5ad7c40d32883c,False,5128.0,0.0,2201.0,33252.0,13.0,1631.0,14874.0,10372.0,12470.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-smoke-routine-840001|state=3,dra2-smoke-routine-840001,routine,72.0,ab1835d4bc6079f6316c24c0bd6e9dd31ef2504cb0161be82f38fa19b765d0d8,False,2820.0,0.0,7498.0,0.0,0.0,0.0,2502.0,10256.0,0.0,1.0,0.0,48.0,128.0,1.0,0.0,0.047619047619047616
dra2-smoke-assembly_scarcity-840002|state=0,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,1440.0,5c0951e593bd0bd320e005497eb176e19f1a4d5db6dff13e2c0f88339d67eb13,False,116.0,0.0,2368.0,20636.0,8.0,935.0,15052.0,12936.0,9787.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-assembly_scarcity-840002|state=1,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,24.0,c6061de81474e531a7a5c4d0245423e6eed26e00c768026b8e8a3d43cae51467,False,5256.0,0.0,5000.0,0.0,0.0,0.0,0.0,7692.0,0.0,1.0,0.0,48.0,80.0,1.0,0.0,0.7619047619047619
dra2-smoke-assembly_scarcity-840002|state=2,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,1968.0,211610f86b4f652e44856e7ca55c626b70e757622679aaaf910f2dc057c379b8,False,5128.0,0.0,1374.0,33301.0,13.0,1463.0,14705.0,10372.0,12349.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-smoke-assembly_scarcity-840002|state=3,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,72.0,f98f4b6a0369b1f827e156b556cda75a88033a331feff25bfce22645e4531281,False,2820.0,0.0,7405.0,0.0,0.0,0.0,2595.0,10256.0,0.0,1.0,0.0,48.0,128.0,1.0,0.0,0.047619047619047616
dra2-smoke-op8_interruption-840003|state=0,dra2-smoke-op8_interruption-840003,op8_interruption,1440.0,797d44f9eccebbfc3348ba2646597110cfded882d835e313b7d0d1dfa04026bb,False,116.0,0.0,1242.0,17982.0,7.0,1007.0,15025.0,12936.0,12443.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-op8_interruption-840003|state=1,dra2-smoke-op8_interruption-840003,op8_interruption,24.0,c6061de81474e531a7a5c4d0245423e6eed26e00c768026b8e8a3d43cae51467,False,5256.0,0.0,5000.0,0.0,0.0,0.0,0.0,7692.0,0.0,1.0,0.0,48.0,80.0,1.0,0.0,0.7619047619047619
dra2-smoke-op8_interruption-840003|state=2,dra2-smoke-op8_interruption-840003,op8_interruption,1848.0,e113b4012f030fb1be2fa801173de6518ed3eba0355aa963e72829161c39032f,False,2808.0,0.0,4798.0,30762.0,12.0,1415.0,15003.0,15384.0,12352.0,1.0,0.0,48.0,80.0,1.0,0.0,0.6190476190476191
dra2-smoke-op8_interruption-840003|state=3,dra2-smoke-op8_interruption-840003,op8_interruption,72.0,4ce37319bb29165ea34d27bc6e1502efc11a3efdab9daa084c74882495501bb2,False,2820.0,0.0,7564.0,0.0,0.0,0.0,2436.0,10256.0,0.0,1.0,0.0,48.0,128.0,1.0,0.0,0.047619047619047616
dra2-smoke-r24_mixed-840004|state=0,dra2-smoke-r24_mixed-840004,r24_mixed,1440.0,0137fb5a1aafd325b247735092236fb38b597ca5bd603f6c2fd33d20b825d537,False,116.0,0.0,527.0,23204.0,9.0,1127.0,17696.0,12936.0,15217.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-r24_mixed-840004|state=1,dra2-smoke-r24_mixed-840004,r24_mixed,24.0,c6061de81474e531a7a5c4d0245423e6eed26e00c768026b8e8a3d43cae51467,False,5256.0,0.0,5000.0,0.0,0.0,0.0,0.0,7692.0,0.0,1.0,0.0,48.0,80.0,1.0,0.0,0.7619047619047619
dra2-smoke-r24_mixed-840004|state=2,dra2-smoke-r24_mixed-840004,r24_mixed,1968.0,ff54a499f9673290ee218471a49939526c20702dc1453b87e09f907a8edade9a,False,5128.0,0.0,1796.0,41034.0,16.0,1655.0,14750.0,10372.0,12473.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-smoke-r24_mixed-840004|state=3,dra2-smoke-r24_mixed-840004,r24_mixed,72.0,8e80fbc12da0f4bffcac9cf1a4d83ea810be082ad2bce9059c0c2d54c1f63426,False,2820.0,0.0,7403.0,0.0,0.0,0.0,2597.0,10256.0,0.0,1.0,0.0,48.0,128.0,1.0,0.0,0.047619047619047616
